restaurant	a storefront for my Istanbul coffee roastery with online ordering
restaurant	small cafe that wants to show its menu and take pickup orders
restaurant	family pizzeria, we deliver in the evenings
restaurant	bakery with daily specials and a cake order form
restaurant	I run a kebab place and need people to see what we serve
restaurant	brunch spot, want photos of the dishes and opening hours
restaurant	we roast beans and sell them by the bag as well as brewing
restaurant	juice bar near the university, orders for pickup
restaurant	catering for weddings and office lunches
restaurant	food truck that moves around the city, want a page with today's location
restaurant	a dessert shop, baklava and kunefe, delivery in the city
restaurant	we serve breakfast all day and want an online menu

fashion	boutique clothing store named Nord
fashion	I design and sell handmade dresses in small runs
fashion	sneaker shop, limited drops every season
fashion	we sell leather bags and belts we make ourselves
fashion	a womenswear label, four collections a year
fashion	kids clothing shop with sizes and colours
fashion	jewellery studio, rings and necklaces, made to order
fashion	streetwear brand launching its first collection
fashion	we tailor suits and need to show fabrics and fittings
fashion	an online shop for scarves and shawls
fashion	modest wear brand, abayas and hijabs
fashion	vintage clothing reseller with one-off pieces

logistics	freight forwarder with shipment tracking
logistics	we move containers by sea and handle customs
logistics	a courier company, customers want to check where their parcel is
logistics	trucking company doing full and part loads across the country
logistics	air cargo agent, need a quote request form
logistics	we do warehousing and last mile delivery
logistics	customs broker, clients need to send us documents
logistics	a small fleet moving goods between cities
logistics	cold chain transport for food producers
logistics	moving company for homes and offices
logistics	we ship from Turkey to Europe and need a tracking reference page
logistics	shipping agency handling port paperwork

manufacturing	we produce metal parts to customer drawings
manufacturing	a factory making plastic components for appliances
manufacturing	CNC machining shop taking custom orders
manufacturing	we manufacture furniture parts for other brands
manufacturing	textile mill producing fabric rolls
manufacturing	injection moulding with our own tooling
manufacturing	we make packaging for food companies
manufacturing	a workshop producing steel frames to spec
manufacturing	electronics assembly, small batches
manufacturing	we produce cleaning chemicals in bulk containers
manufacturing	sheet metal fabrication with laser cutting
manufacturing	our plant runs three shifts and ships pallets weekly

construction	construction firm project portfolio
construction	we build houses and want to show finished projects
construction	a contractor doing renovations for apartments
construction	roofing company, free site survey
construction	we do interior fit-outs for shops and offices
construction	civil works, roads and drainage
construction	a builder that needs to show before and after photos
construction	electrical and plumbing installation for new builds
construction	we pour concrete foundations for residential sites
construction	landscaping and garden design company
construction	scaffolding hire and erection
construction	we manage sites from permit to handover

services	barber shop with appointment booking
services	hair salon, clients book a time online
services	dental clinic that needs an appointment page
services	a photography studio taking session bookings
services	physiotherapy practice, first consultation free
services	we are a small accounting firm looking after local businesses
services	law office, clients contact us for a first meeting
services	car repair garage, customers book a slot
services	a tutoring centre with class times
services	cleaning company for homes and offices
services	consultancy that bills by the hour and by retainer
services	pet grooming, appointments and prices

wholesale	auto parts wholesaler
wholesale	we supply restaurants with dry goods in bulk
wholesale	trade only, customers open an account and get their price list
wholesale	distributor of cleaning products to shops
wholesale	we sell to retailers not the public, minimum order quantities
wholesale	building materials supplier for contractors
wholesale	importer of packaged food, we resell to markets
wholesale	stationery supplier for schools and offices
wholesale	we deal in bulk rice sugar and flour
wholesale	electrical components distributor with tiered pricing
wholesale	pharmacy supplier serving chains
wholesale	I sell parts to garages, they order by the box

retail	everything we sell in one place, online orders
retail	a corner shop that wants to sell online too
retail	hardware store with a big product range
retail	pet supplies shop, food and toys
retail	toy shop with an online catalogue
retail	bookshop, we want people to browse titles online
retail	phone accessories shop in the mall
retail	garden centre selling plants and pots
retail	sporting goods store with same day dispatch
retail	a supermarket that wants a click and collect page
retail	cosmetics shop, we hold stock and ship the same day
retail	we sell home goods and want a proper product grid
