restaurant	İstanbul'daki kahve dükkanım için online sipariş alan bir site
restaurant	küçük bir kafeyim, menümü göstermek istiyorum
restaurant	pideci ve lahmacuncu, akşamları paket servis yapıyoruz
restaurant	pastane, günlük taze ürünler ve pasta siparişi
restaurant	kebapçıyız, menümüzü ve şubelerimizi göstermek istiyoruz
restaurant	kahvaltı salonu, hafta sonu rezervasyon alıyoruz
restaurant	tatlıcı dükkanı, baklava ve künefe, şehir içi teslimat
restaurant	lokantamız için yemek listesi olan bir sayfa

fashion	butik giyim mağazası açtım
fashion	el yapımı elbiseler tasarlıyorum ve satıyorum
fashion	ayakkabı mağazası, her sezon yeni koleksiyon
fashion	deri çanta ve kemer üretip satıyoruz
fashion	tesettür giyim markası, abiye ve ferace
fashion	çocuk giyim dükkanı, beden ve renk seçenekleri
fashion	takı atölyesi, siparişe özel yüzük ve kolye
fashion	terziyim, kumaşları ve dikim örneklerini göstermek istiyorum

logistics	nakliye firması için kargo takip sistemi olan site
logistics	konteyner taşıyoruz ve gümrük işlemlerini yapıyoruz
logistics	kargo şirketiyiz, müşteriler gönderilerini takip etsin
logistics	şehirlerarası tır ile parsiyel ve komple yük taşıyoruz
logistics	hava kargo acentesiyiz, teklif formu istiyoruz
logistics	depolama ve son kilometre dağıtım hizmeti veriyoruz
logistics	gümrük müşavirliği, evrak gönderimi için sayfa
logistics	evden eve nakliyat yapıyoruz

manufacturing	müşteri çizimine göre metal parça üretiyoruz
manufacturing	plastik enjeksiyon ile parça imalatı yapan fabrika
manufacturing	CNC torna atölyesi, özel siparişler alıyoruz
manufacturing	tekstil fabrikası, kumaş top halinde üretim
manufacturing	gıda firmaları için ambalaj üretiyoruz
manufacturing	çelik konstrüksiyon imalatı yapıyoruz
manufacturing	elektronik montaj, küçük partiler halinde
manufacturing	sac metal işleme ve lazer kesim yapıyoruz

construction	inşaat firması, tamamlanan projelerimizi göstermek istiyoruz
construction	müteahhidiz, konut projeleri yapıyoruz
construction	tadilat ve dekorasyon işleri yapıyoruz
construction	çatı ve yalıtım işleri, ücretsiz keşif
construction	mağaza ve ofis için iç mimari uygulama
construction	altyapı ve yol çalışmaları yapıyoruz
construction	elektrik ve sıhhi tesisat montajı
construction	peyzaj ve bahçe düzenleme firması

services	berber dükkanı için randevu sistemi
services	kuaför salonu, müşteriler online randevu alsın
services	diş kliniği, randevu sayfası istiyoruz
services	fotoğraf stüdyosu, çekim randevusu alıyoruz
services	fizik tedavi merkezi, ilk muayene ücretsiz
services	mali müşavirlik ofisi, küçük işletmelere hizmet
services	oto servis, müşteriler randevu alsın
services	temizlik şirketi, ev ve ofis temizliği

wholesale	oto yedek parça toptancısıyım
wholesale	restoranlara toplu kuru gıda tedarik ediyoruz
wholesale	sadece toptan satış, müşteriler cari hesap açıyor
wholesale	marketlere temizlik ürünü dağıtıyoruz
wholesale	inşaat malzemesi tedarikçisiyiz
wholesale	ithalat yapıyoruz ve marketlere satıyoruz
wholesale	pirinç şeker un gibi ürünleri çuvalla satıyoruz
wholesale	elektrik malzemesi toptancısı, kademeli fiyat listesi

retail	sattığımız her şey tek bir yerde olsun, online sipariş
retail	bakkalım var, internetten de satmak istiyorum
retail	hırdavat mağazası, geniş ürün yelpazesi
retail	evcil hayvan ürünleri dükkanı, mama ve oyuncak
retail	kırtasiye ve oyuncak mağazası, online katalog
retail	kitapçı, insanlar kitapları internetten görsün
retail	kozmetik mağazası, aynı gün kargo
retail	ev tekstili satıyoruz, düzgün bir ürün vitrini istiyoruz
